start.location,start.country,start.city,start.latitude,start.longitude,end.location,end.country,end.city,end.latitude,end.longitude,date,journey,number.of.letters,start.state,end.state
"USA, Brooklyn (NY)",USA,Brooklyn,40.678178,-73.944158,"DEU, Oberweißbach (TH)",DEU,Oberweißbach,50.581574,11.142585,1903-07-08,-73.944158 40.678178 -73.944158 40.678178,48,NY,TH
"USA, Brooklyn (NY)",USA,Brooklyn,40.678178,-73.944158,"DEU, Oberweißbach (TH)",DEU,Oberweißbach,50.581574,11.142585,1887-09-12,-73.944158 40.678178 -73.944158 40.678178,48,NY,TH
"USA, Brooklyn (NY)",USA,Brooklyn,40.678178,-73.944158,"DEU, Oberweißbach (TH)",DEU,Oberweißbach,50.581574,11.142585,1888-01-17,-73.944158 40.678178 -73.944158 40.678178,48,NY,TH
"USA, Brooklyn (NY)",USA,Brooklyn,40.678178,-73.944158,"DEU, Oberweißbach (TH)",DEU,Oberweißbach,50.581574,11.142585,1902-01-27,-73.944158 40.678178 -73.944158 40.678178,48,NY,TH
"USA, Brooklyn (NY)",USA,Brooklyn,40.678178,-73.944158,"DEU, Oberweißbach (TH)",DEU,Oberweißbach,50.581574,11.142585,1920-01-10,-73.944158 40.678178 -73.944158 40.678178,48,NY,TH
"USA, Brooklyn (NY)",USA,Brooklyn,40.678178,-73.944158,"DEU, Oberweißbach (TH)",DEU,Oberweißbach,50.581574,11.142585,1894-06-15,-73.944158 40.678178 -73.944158 40.678178,48,NY,TH
"USA, Brooklyn (NY)",USA,Brooklyn,40.678178,-73.944158,"DEU, Oberweißbach (TH)",DEU,Oberweißbach,50.581574,11.142585,1902-09-17,-73.944158 40.678178 -73.944158 40.678178,48,NY,TH
"USA, Brooklyn (NY)",USA,Brooklyn,40.678178,-73.944158,"DEU, Oberweißbach (TH)",DEU,Oberweißbach,50.581574,11.142585,1902-10-19,-73.944158 40.678178 -73.944158 40.678178,48,NY,TH
"USA, Brooklyn (NY)",USA,Brooklyn,40.678178,-73.944158,"DEU, Oberweißbach (TH)",DEU,Oberweißbach,50.581574,11.142585,1903-01-13,-73.944158 40.678178 -73.944158 40.678178,48,NY,TH
"USA, Brooklyn (NY)",USA,Brooklyn,40.678178,-73.944158,"DEU, Oberweißbach (TH)",DEU,Oberweißbach,50.581574,11.142585,1906-12-10,-73.944158 40.678178 -73.944158 40.678178,48,NY,TH
"USA, Brooklyn (NY)",USA,Brooklyn,40.678178,-73.944158,"DEU, Oberweißbach (TH)",DEU,Oberweißbach,50.581574,11.142585,1907-05-11,-73.944158 40.678178 -73.944158 40.678178,48,NY,TH
"USA, Brooklyn (NY)",USA,Brooklyn,40.678178,-73.944158,"DEU, Oberweißbach (TH)",DEU,Oberweißbach,50.581574,11.142585,1915-10-11,-73.944158 40.678178 -73.944158 40.678178,48,NY,TH
"USA, Brooklyn (NY)",USA,Brooklyn,40.678178,-73.944158,"DEU, Oberweißbach (TH)",DEU,Oberweißbach,50.581574,11.142585,1915-11-17,-73.944158 40.678178 -73.944158 40.678178,48,NY,TH
"USA, Brooklyn (NY)",USA,Brooklyn,40.678178,-73.944158,"DEU, Oberweißbach (TH)",DEU,Oberweißbach,50.581574,11.142585,1916-05-16,-73.944158 40.678178 -73.944158 40.678178,48,NY,TH
"USA, Brooklyn (NY)",USA,Brooklyn,40.678178,-73.944158,"DEU, Oberweißbach (TH)",DEU,Oberweißbach,50.581574,11.142585,1890-03-07,-73.944158 40.678178 -73.944158 40.678178,48,NY,TH
"USA, Brooklyn (NY)",USA,Brooklyn,40.678178,-73.944158,"DEU, Oberweißbach (TH)",DEU,Oberweißbach,50.581574,11.142585,1890-03-17,-73.944158 40.678178 -73.944158 40.678178,48,NY,TH
"USA, Brooklyn (NY)",USA,Brooklyn,40.678178,-73.944158,"DEU, Oberweißbach (TH)",DEU,Oberweißbach,50.581574,11.142585,1891-07-24,-73.944158 40.678178 -73.944158 40.678178,48,NY,TH
"USA, Brooklyn (NY)",USA,Brooklyn,40.678178,-73.944158,"DEU, Oberweißbach (TH)",DEU,Oberweißbach,50.581574,11.142585,1892-01-21,-73.944158 40.678178 -73.944158 40.678178,48,NY,TH
"USA, Brooklyn (NY)",USA,Brooklyn,40.678178,-73.944158,"DEU, Oberweißbach (TH)",DEU,Oberweißbach,50.581574,11.142585,1892-12-24,-73.944158 40.678178 -73.944158 40.678178,48,NY,TH
"USA, Brooklyn (NY)",USA,Brooklyn,40.678178,-73.944158,"DEU, Oberweißbach (TH)",DEU,Oberweißbach,50.581574,11.142585,1895-05-09,-73.944158 40.678178 -73.944158 40.678178,48,NY,TH
"USA, Brooklyn (NY)",USA,Brooklyn,40.678178,-73.944158,"DEU, Oberweißbach (TH)",DEU,Oberweißbach,50.581574,11.142585,1896-03-19,-73.944158 40.678178 -73.944158 40.678178,48,NY,TH
"USA, Brooklyn (NY)",USA,Brooklyn,40.678178,-73.944158,"DEU, Oberweißbach (TH)",DEU,Oberweißbach,50.581574,11.142585,1896-06-26,-73.944158 40.678178 -73.944158 40.678178,48,NY,TH
"USA, Brooklyn (NY)",USA,Brooklyn,40.678178,-73.944158,"DEU, Oberweißbach (TH)",DEU,Oberweißbach,50.581574,11.142585,1896-10-24,-73.944158 40.678178 -73.944158 40.678178,48,NY,TH
"USA, Brooklyn (NY)",USA,Brooklyn,40.678178,-73.944158,"DEU, Oberweißbach (TH)",DEU,Oberweißbach,50.581574,11.142585,1897-07-30,-73.944158 40.678178 -73.944158 40.678178,48,NY,TH
"USA, Brooklyn (NY)",USA,Brooklyn,40.678178,-73.944158,"DEU, Oberweißbach (TH)",DEU,Oberweißbach,50.581574,11.142585,1897-10-05,-73.944158 40.678178 -73.944158 40.678178,48,NY,TH
"USA, Brooklyn (NY)",USA,Brooklyn,40.678178,-73.944158,"DEU, Oberweißbach (TH)",DEU,Oberweißbach,50.581574,11.142585,1898-01-23,-73.944158 40.678178 -73.944158 40.678178,48,NY,TH
"USA, Brooklyn (NY)",USA,Brooklyn,40.678178,-73.944158,"DEU, Oberweißbach (TH)",DEU,Oberweißbach,50.581574,11.142585,1898-04-29,-73.944158 40.678178 -73.944158 40.678178,48,NY,TH
"USA, Brooklyn (NY)",USA,Brooklyn,40.678178,-73.944158,"DEU, Oberweißbach (TH)",DEU,Oberweißbach,50.581574,11.142585,1898-11-06,-73.944158 40.678178 -73.944158 40.678178,48,NY,TH
"USA, Brooklyn (NY)",USA,Brooklyn,40.678178,-73.944158,"DEU, Oberweißbach (TH)",DEU,Oberweißbach,50.581574,11.142585,1899-06-12,-73.944158 40.678178 -73.944158 40.678178,48,NY,TH
"USA, Brooklyn (NY)",USA,Brooklyn,40.678178,-73.944158,"DEU, Oberweißbach (TH)",DEU,Oberweißbach,50.581574,11.142585,1902-11-16,-73.944158 40.678178 -73.944158 40.678178,48,NY,TH
"USA, Brooklyn (NY)",USA,Brooklyn,40.678178,-73.944158,"DEU, Oberweißbach (TH)",DEU,Oberweißbach,50.581574,11.142585,1902-12-16,-73.944158 40.678178 -73.944158 40.678178,48,NY,TH
"USA, Brooklyn (NY)",USA,Brooklyn,40.678178,-73.944158,"DEU, Oberweißbach (TH)",DEU,Oberweißbach,50.581574,11.142585,1903-02-13,-73.944158 40.678178 -73.944158 40.678178,48,NY,TH
"USA, Brooklyn (NY)",USA,Brooklyn,40.678178,-73.944158,"DEU, Oberweißbach (TH)",DEU,Oberweißbach,50.581574,11.142585,1905-12-10,-73.944158 40.678178 -73.944158 40.678178,48,NY,TH
"USA, Brooklyn (NY)",USA,Brooklyn,40.678178,-73.944158,"DEU, Oberweißbach (TH)",DEU,Oberweißbach,50.581574,11.142585,1916-08-27,-73.944158 40.678178 -73.944158 40.678178,48,NY,TH
"USA, Brooklyn (NY)",USA,Brooklyn,40.678178,-73.944158,"DEU, Oberweißbach (TH)",DEU,Oberweißbach,50.581574,11.142585,1906-09-08,-73.944158 40.678178 -73.944158 40.678178,48,NY,TH
"USA, Brooklyn (NY)",USA,Brooklyn,40.678178,-73.944158,"DEU, Oberweißbach (TH)",DEU,Oberweißbach,50.581574,11.142585,1907-06-18,-73.944158 40.678178 -73.944158 40.678178,48,NY,TH
"USA, Brooklyn (NY)",USA,Brooklyn,40.678178,-73.944158,"DEU, Oberweißbach (TH)",DEU,Oberweißbach,50.581574,11.142585,1915-01-01,-73.944158 40.678178 -73.944158 40.678178,48,NY,TH
"USA, Brooklyn (NY)",USA,Brooklyn,40.678178,-73.944158,"DEU, Oberweißbach (TH)",DEU,Oberweißbach,50.581574,11.142585,1915-11-04,-73.944158 40.678178 -73.944158 40.678178,48,NY,TH
"USA, Brooklyn (NY)",USA,Brooklyn,40.678178,-73.944158,"DEU, Oberweißbach (TH)",DEU,Oberweißbach,50.581574,11.142585,1916-01-01,-73.944158 40.678178 -73.944158 40.678178,48,NY,TH
"USA, Brooklyn (NY)",USA,Brooklyn,40.678178,-73.944158,"DEU, Oberweißbach (TH)",DEU,Oberweißbach,50.581574,11.142585,1916-03-19,-73.944158 40.678178 -73.944158 40.678178,48,NY,TH
"USA, Brooklyn (NY)",USA,Brooklyn,40.678178,-73.944158,"DEU, Oberweißbach (TH)",DEU,Oberweißbach,50.581574,11.142585,1919-07-16,-73.944158 40.678178 -73.944158 40.678178,48,NY,TH
"USA, Brooklyn (NY)",USA,Brooklyn,40.678178,-73.944158,"DEU, Oberweißbach (TH)",DEU,Oberweißbach,50.581574,11.142585,1919-07-22,-73.944158 40.678178 -73.944158 40.678178,48,NY,TH
"USA, Waterloo (WI)",USA,Waterloo,43.183884,-88.988442,"DEU, Roda (TH)",DEU,Roda,50.93123,11.016121,1854-10-22,-88.988442 43.183884 -88.988442 43.183884,2,WI,TH
"USA, Waterloo (WI)",USA,Waterloo,43.183884,-88.988442,"DEU, Roda (TH)",DEU,Roda,50.93123,11.016121,1855-06-17,-88.988442 43.183884 -88.988442 43.183884,2,WI,TH
"USA, Amherst, Portage Co. (WI)",USA,"Amherst, Portage Co.",44.450808,-89.284836,"DEU, Roda (TH)",DEU,Roda,50.93123,11.016121,1855-09-19,-89.284836 44.450808 -89.284836 44.450808,16,WI,TH
"USA, Amherst, Portage Co. (WI)",USA,"Amherst, Portage Co.",44.450808,-89.284836,"DEU, Roda (TH)",DEU,Roda,50.93123,11.016121,1860-02-14,-89.284836 44.450808 -89.284836 44.450808,16,WI,TH
"USA, Amherst, Portage Co. (WI)",USA,"Amherst, Portage Co.",44.450808,-89.284836,"DEU, Roda (TH)",DEU,Roda,50.93123,11.016121,1861-03-24,-89.284836 44.450808 -89.284836 44.450808,16,WI,TH
"USA, Amherst, Portage Co. (WI)",USA,"Amherst, Portage Co.",44.450808,-89.284836,"DEU, Roda (TH)",DEU,Roda,50.93123,11.016121,1862-02-02,-89.284836 44.450808 -89.284836 44.450808,16,WI,TH
"USA, Amherst, Portage Co. (WI)",USA,"Amherst, Portage Co.",44.450808,-89.284836,"DEU, Roda (TH)",DEU,Roda,50.93123,11.016121,1862-06-15,-89.284836 44.450808 -89.284836 44.450808,16,WI,TH
"USA, Amherst, Portage Co. (WI)",USA,"Amherst, Portage Co.",44.450808,-89.284836,"DEU, Roda (TH)",DEU,Roda,50.93123,11.016121,1862-12-26,-89.284836 44.450808 -89.284836 44.450808,16,WI,TH
"USA, Amherst, Portage Co. (WI)",USA,"Amherst, Portage Co.",44.450808,-89.284836,"DEU, Roda (TH)",DEU,Roda,50.93123,11.016121,1863-09-09,-89.284836 44.450808 -89.284836 44.450808,16,WI,TH
"USA, Amherst, Portage Co. (WI)",USA,"Amherst, Portage Co.",44.450808,-89.284836,"DEU, Roda (TH)",DEU,Roda,50.93123,11.016121,1864-11-13,-89.284836 44.450808 -89.284836 44.450808,16,WI,TH
"USA, Amherst, Portage Co. (WI)",USA,"Amherst, Portage Co.",44.450808,-89.284836,"DEU, Roda (TH)",DEU,Roda,50.93123,11.016121,1867-03-16,-89.284836 44.450808 -89.284836 44.450808,16,WI,TH
"USA, Amherst, Portage Co. (WI)",USA,"Amherst, Portage Co.",44.450808,-89.284836,"DEU, Roda (TH)",DEU,Roda,50.93123,11.016121,1867-05-06,-89.284836 44.450808 -89.284836 44.450808,16,WI,TH
"USA, Amherst, Portage Co. (WI)",USA,"Amherst, Portage Co.",44.450808,-89.284836,"DEU, Roda (TH)",DEU,Roda,50.93123,11.016121,1867-10-06,-89.284836 44.450808 -89.284836 44.450808,16,WI,TH
"USA, Amherst, Portage Co. (WI)",USA,"Amherst, Portage Co.",44.450808,-89.284836,"DEU, Roda (TH)",DEU,Roda,50.93123,11.016121,1868-02-09,-89.284836 44.450808 -89.284836 44.450808,16,WI,TH
"USA, Amherst, Portage Co. (WI)",USA,"Amherst, Portage Co.",44.450808,-89.284836,"DEU, Roda (TH)",DEU,Roda,50.93123,11.016121,1868-10-18,-89.284836 44.450808 -89.284836 44.450808,16,WI,TH
"USA, Amherst, Portage Co. (WI)",USA,"Amherst, Portage Co.",44.450808,-89.284836,"DEU, Roda (TH)",DEU,Roda,50.93123,11.016121,1872-10-20,-89.284836 44.450808 -89.284836 44.450808,16,WI,TH
"USA, Amherst, Portage Co. (WI)",USA,"Amherst, Portage Co.",44.450808,-89.284836,"DEU, Roda (TH)",DEU,Roda,50.93123,11.016121,1875-01-25,-89.284836 44.450808 -89.284836 44.450808,16,WI,TH
"USA, Amherst, Portage Co. (WI)",USA,"Amherst, Portage Co.",44.450808,-89.284836,"DEU, Roda (TH)",DEU,Roda,50.93123,11.016121,1875-05-26,-89.284836 44.450808 -89.284836 44.450808,16,WI,TH
"USA, Minneapolis (MN) (MN)",USA,Minneapolis  (MN),44.977753,-93.265011,"DEU, Apolda (TH)",DEU,Apolda,51.02601,11.51555,1902-06-12,-93.265011 44.977753 -93.265011 44.977753,2,MN,TH
"DEU, Gräfenthal (TH)",DEU,Gräfenthal,50.525772,11.310406,"USA, New York (NY)",USA,New York,40.712784,-74.005941000000007,1881-04-18,11.310406 50.525772 11.310406 50.525772,1,TH,NY
"DEU, Piesau (TH)",DEU,Piesau,50.512949,11.21717,"USA, New York (NY)",USA,New York,40.712784,-74.005941000000007,1880-10-27,11.21717 50.512949 11.21717 50.512949,2,TH,NY
"DEU, Piesau (TH)",DEU,Piesau,50.512949,11.21717,"USA, New York (NY)",USA,New York,40.712784,-74.005941000000007,1881-02-10,11.21717 50.512949 11.21717 50.512949,2,TH,NY
"USA, Austin (TX)",USA,Austin,30.267153,-97.743061,"DEU, Piesau (TH)",DEU,Piesau,50.512949,11.21717,1869-03-29,-97.743061 30.267153 -97.743061 30.267153,6,TX,TH
"USA, Austin (TX)",USA,Austin,30.267153,-97.743061,"DEU, Piesau (TH)",DEU,Piesau,50.512949,11.21717,1869-10-22,-97.743061 30.267153 -97.743061 30.267153,6,TX,TH
"USA, Austin (TX)",USA,Austin,30.267153,-97.743061,"DEU, Piesau (TH)",DEU,Piesau,50.512949,11.21717,1872-10-09,-97.743061 30.267153 -97.743061 30.267153,6,TX,TH
"USA, Austin (TX)",USA,Austin,30.267153,-97.743061,"DEU, Piesau (TH)",DEU,Piesau,50.512949,11.21717,1873-10-24,-97.743061 30.267153 -97.743061 30.267153,6,TX,TH
"USA, Austin (TX)",USA,Austin,30.267153,-97.743061,"DEU, Piesau (TH)",DEU,Piesau,50.512949,11.21717,1874-01-04,-97.743061 30.267153 -97.743061 30.267153,6,TX,TH
"USA, Austin (TX)",USA,Austin,30.267153,-97.743061,"DEU, Piesau (TH)",DEU,Piesau,50.512949,11.21717,1876-01-01,-97.743061 30.267153 -97.743061 30.267153,6,TX,TH
"USA, New York (NY)",USA,New York,40.712784,-74.005941000000007,"DEU, Piesau (TH)",DEU,Piesau,50.512949,11.21717,1880-09-01,-74.005941 40.712784 -74.005941 40.712784,260,NY,TH
"USA, New York (NY)",USA,New York,40.712784,-74.005941000000007,"DEU, Piesau (TH)",DEU,Piesau,50.512949,11.21717,1880-09-03,-74.005941 40.712784 -74.005941 40.712784,260,NY,TH
"USA, New York (NY)",USA,New York,40.712784,-74.005941000000007,"DEU, Piesau (TH)",DEU,Piesau,50.512949,11.21717,1880-09-26,-74.005941 40.712784 -74.005941 40.712784,260,NY,TH
"USA, New York (NY)",USA,New York,40.712784,-74.005941000000007,"DEU, Piesau (TH)",DEU,Piesau,50.512949,11.21717,1880-10-04,-74.005941 40.712784 -74.005941 40.712784,260,NY,TH
